,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
323,Danny Woodhead\WoodDa02,NYJ,WR,24,10,0,0,0,0,0,0,15,64,4.27,0,14,8,87,10.88,0,15,23.1,19.1,,115,
324,Mike Cox\Cox_Mi20,KAN,RB,24,16,10,0,0,0,0,0,3,5,1.67,1,13,10,79,7.90,0,14,24.4,19.4,,99,
325,Brian Hoyer\HoyeBr00,NWE,QB,24,5,0,19,27,142,0,0,10,25,2.50,1,0,0,0,,0,14,14.2,14.2,,54,
326,Edgerrin James\JameEd00,SEA,RB,31,7,0,0,0,0,0,0,46,125,2.72,0,3,3,19,6.33,0,14,19.9,14.9,,100,
327,Michael Bennett\BennMi00,SDG,RB,31,6,0,0,0,0,0,0,23,65,2.83,0,7,6,65,10.83,0,13,19.0,16.0,,106,
328,Tim Castille\CastTi20,KAN,RB,25,7,0,0,1,0,0,1,14,55,3.93,0,6,4,37,9.25,1,13,17.7,15.2,,102,
329,Casey Fitzsimmons\FitzCa00,DET,TE,29,12,1,0,0,0,0,0,0,0,,0,27,18,128,7.11,0,13,33.3,20.8,,59,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
330,BenJarvus Green-Ellis\GreeBe00,NWE,RB,24,12,0,0,0,0,0,0,26,114,4.38,0,5,2,11,5.50,0,13,17.5,13.5,,107,
331,Steve Heiden\HeidSt00,CLE,TE,33,7,6,0,0,0,0,0,0,0,,0,17,10,73,7.30,1,13,22.8,17.3,,58,
332,Peyton Hillis\HillPe00,DEN,RB,23,14,2,0,0,0,0,0,13,54,4.15,1,6,4,19,4.75,0,13,16.8,14.3,,101,
333,Nate Hughes\HughNa00,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,12,5,70,14.00,1,13,18.0,15.5,,116,
334,Moran Norris\NorrMo00,SFO,RB,31,16,7,0,0,0,0,0,14,41,2.93,1,11,7,31,4.43,0,13,19.7,15.7,,104,
335,Tyrell Sutton\SuttTy00,CAR,RB,23,7,1,0,0,0,0,0,12,68,5.67,0,11,6,62,10.33,0,13,19.0,16.0,,105,
336,Naufahu Tahi\TahiNa00,MIN,RB,28,15,2,0,0,0,0,0,3,5,1.67,0,12,10,67,6.70,1,13,23.2,18.2,,103,
337,Anthony Becht\BechAn00,ARI,TE,32,16,10,0,0,0,0,0,0,0,,0,12,7,61,8.71,1,12,18.6,14.6,,60,
338,Brad Cottam\CottBr00,KAN,TE,25,8,1,0,0,0,0,0,0,0,,0,15,9,120,13.33,0,12,24.0,16.5,,61,
339,Michael Gaines\GainMi00,2TM,TE,29,10,7,0,0,0,0,0,0,0,,0,9,5,59,11.80,1,12,16.9,14.4,,62,
